HistorySet,Original,AfterCleanAlias,NormalizedMatches
AM300,STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),STANBIC IBTC HOLDINGS NIGERIA NIGERIA (NIGERIA),
AM100,STANDARD BANK MALAWI (MALAWI),STANDARD BANK MALAWI MALAWI (MALAWI),
AM200,STANDARD BANK MALAWI (MALAWI),STANDARD BANK MALAWI MALAWI (MALAWI),
AM300,STANDARD BANK MALAWI (MALAWI),STANDARD BANK MALAWI MALAWI (MALAWI),
AM200,STANDARD CHARTERED BANK GHANA (GHANA),STANDARD CHARTERED BANK GHANA GHANA (GHANA),
AM300,STANDARD CHARTERED BANK GHANA (GHANA),STANDARD CHARTERED BANK GHANA GHANA (GHANA),
AM100,STANDARD CHARTERED BANK KENYA (KENYA),STANDARD CHARTERED BANK KENYA KENYA (KENYA),
AM200,STANDARD CHARTERED BANK KENYA (KENYA),STANDARD CHARTERED BANK KENYA KENYA (KENYA),
AM300,STANDARD CHARTERED BANK KENYA (KENYA),STANDARD CHARTERED BANK KENYA KENYA (KENYA),
AM200,STARAFRICACORPORATION (ZIMBABWE),STARAFRICACORPORATION ZIMBABWE (ZIMBABWE),
AM300,STARAFRICACORPORATION (ZIMBABWE),STARAFRICACORPORATION ZIMBABWE (ZIMBABWE),
AM100,STERLING FINANCIAL HOLDINGS NIGERIA (NIGERIA),STERLING FINANCIAL HOLDINGS NIGERIA NIGERIA (NIGERIA),
AM200,STERLING FINANCIAL HOLDINGS NIGERIA (NIGERIA),STERLING FINANCIAL HOLDINGS NIGERIA NIGERIA (NIGERIA),
AM300,STERLING FINANCIAL HOLDINGS NIGERIA (NIGERIA),STERLING FINANCIAL HOLDINGS NIGERIA NIGERIA (NIGERIA),
AM200,SUEZ CANAL BANK (EGYPT),SUEZ CANAL BANK EGYPT (EGYPT),
AM300,SUEZ CANAL BANK (EGYPT),SUEZ CANAL BANK EGYPT (EGYPT),
AM200,SUN RESORTS LIMITED MAURITIUS (MAURITIUS),SUN RESORTS LIMITED MAURITIUS MAURITIUS (MAURITIUS),
AM300,SUN RESORTS LIMITED MAURITIUS (MAURITIUS),SUN RESORTS LIMITED MAURITIUS MAURITIUS (MAURITIUS),
AM100,SWISSPORT TANZANIA (TANZANIA),SWISSPORT TANZANIA TANZANIA (TANZANIA),
AM200,SWISSPORT TANZANIA (TANZANIA),SWISSPORT TANZANIA TANZANIA (TANZANIA),
AM300,SWISSPORT TANZANIA (TANZANIA),SWISSPORT TANZANIA TANZANIA (TANZANIA),
AM100,TALAAT MOUSTAFA GROUP EGYPT (EGYPT),TALAAT MOUSTAFA GROUP EGYPT EGYPT (EGYPT),
AM200,TALAAT MOUSTAFA GROUP EGYPT (EGYPT),TALAAT MOUSTAFA GROUP EGYPT EGYPT (EGYPT),
AM300,TALAAT MOUSTAFA GROUP EGYPT (EGYPT),TALAAT MOUSTAFA GROUP EGYPT EGYPT (EGYPT),
AM100,TANGA CEMENT TANZANIA (TANZANIA),TANGA CEMENT TANZANIA TANZANIA (TANZANIA),
