Date,High Risk
2021-12-09,2398.642985582048
2021-12-10,2395.7014253422717
2021-12-12,2400.2614700738905
2021-12-13,2398.4160172812367
2021-12-14,2399.5575292313893
2021-12-15,2405.1606659579406
2021-12-16,2403.274213820214
2021-12-17,2389.7203353285054
2021-12-19,2387.3891854661974
2021-12-20,2391.9254019013597
2021-12-21,2376.069314885918
2021-12-22,2385.4780546198085
2021-12-23,2398.3106850301274
2021-12-24,2393.0300031978436
2021-12-26,2394.279480515593
2021-12-27,2388.1804685040474
2021-12-28,2398.333961181226
2021-12-29,2409.0972979267353
2021-12-30,2424.0235809438545
2021-12-31,2414.1243794946276
2022-01-03,2414.1243794946276
2022-01-04,2425.4657204994865
2022-01-05,2445.52777182395
2022-01-06,2447.267527322467
2022-01-07,2459.4000864667337
2022-01-09,2457.9951772346
2022-01-10,2461.0115634868707
2022-01-11,2452.112610487046
2022-01-12,2475.666861252832
2022-01-13,2486.8276263660055
2022-01-14,2513.689520497479
2022-01-16,2506.7993528888696
2022-01-17,2498.4186539023567
2022-01-18,2502.2264717746707
2022-01-19,2493.4956920349314
2022-01-20,2497.5774236937136
2022-01-21,2511.536421295986
2022-01-23,2505.385481094635
2022-01-24,2492.6204075290793
2022-01-25,2479.225750752606
2022-01-26,2499.327062874804
2022-01-27,2501.7048533893185
2022-01-28,2518.4245884682637
2022-01-30,2497.631802582952
2022-01-31,2528.233697521415
2022-02-01,2528.233697521415
2022-02-02,2537.722665287935
2022-02-03,2538.6872514634315
2022-02-04,2548.8652289639167
2022-02-06,2550.6462272867993
2022-02-07,2547.2602200669494
2022-02-08,2555.7358295928543
2022-02-09,2558.9502930336243
2022-02-10,2559.0618249117974
2022-02-11,2588.799394737061
2022-02-13,2570.670783719669
2022-02-14,2551.726566187722
2022-02-15,2559.6204733877075
2022-02-16,2563.678265775452
2022-02-17,2587.6025498983636
2022-02-18,2602.019238188774
2022-02-20,2585.449420494833
2022-02-21,2585.220145727139
2022-02-22,2574.645736262971
2022-02-23,2571.535926702087
2022-02-24,2510.612374121001
2022-02-25,2508.2297451111003
2022-02-27,2540.5311014638373
2022-02-28,2555.4597467605117
2022-03-01,2555.4597467605117
2022-03-02,2533.8415458847585
2022-03-03,2538.030180769607
2022-03-04,2527.456379913105
2022-03-06,2523.717990606233
2022-03-07,2499.298877673073
2022-03-08,2501.796617758251
2022-03-09,2522.5538134039866
2022-03-10,2498.6918939250413
2022-03-11,2505.150061123485
2022-03-13,2497.412601579686
2022-03-14,2489.0719402885147
